"Time","Chiếu sáng","Ổ cắm phòng khách + bếp + ngủ","Nóng lạnh","Điều hoà 1 & 2","Điều hoà 3","Điều hoà phòng khách","Bếp từ"
2020-07-15 00:00:00,0,0.965,0,1.52,0,2.86,0.250
2020-07-15 00:01:00,0,0.955,0,1.53,0,2.86,0.250
2020-07-15 00:02:00,0,0.950,0,1.53,0,2.86,0.250
2020-07-15 00:03:00,0,0.950,0,1.53,0,2.87,0.250
2020-07-15 00:04:00,0,0.790,0,1.53,0,2.86,0.250
2020-07-15 00:05:00,0,0.625,0,1.53,0,2.85,0.250
2020-07-15 00:06:00,0,0.620,0,1.54,0,2.84,0.250
2020-07-15 00:07:00,0,0.620,0,1.54,0,2.86,0.250
2020-07-15 00:08:00,0,0.620,0,1.54,0,2.88,0.250
2020-07-15 00:09:00,0,0.615,0,1.52,0,2.85,0.250
2020-07-15 00:10:00,0,0.610,0,1.58,0,2.84,0.250
2020-07-15 00:11:00,0,0.610,0,1.65,0,2.87,0.250
2020-07-15 00:12:00,0,0.605,0,1.83,0,2.89,0.250
2020-07-15 00:13:00,0,0.600,0,1.97,0,2.90,0.250
2020-07-15 00:14:00,0,0.600,0,1.93,0,2.91,0.250
2020-07-15 00:15:00,0.0400,0.600,0,2.22,0,2.90,0.250
2020-07-15 00:16:00,0.0800,0.595,0,2.40,0,2.89,0.250
2020-07-15 00:17:00,0.0400,0.590,0,2.32,0,2.88,0.250
2020-07-15 00:18:00,0,0.590,0,2.33,0,2.88,0.250
2020-07-15 00:19:00,0,0.590,0,2.31,0,2.87,0.250
2020-07-15 00:20:00,0,0.590,0,2.31,0,2.88,0.250
2020-07-15 00:21:00,0,0.590,0,2.30,0,2.90,0.250
2020-07-15 00:22:00,0,0.590,0,2.27,0,2.90,0.250
2020-07-15 00:23:00,0,0.590,0,2.30,0,2.90,0.250
2020-07-15 00:24:00,0,0.585,0,2.33,0,2.91,0.250
2020-07-15 00:25:00,0,0.580,0,2.32,0,2.89,0.250
