"Time","Chiếu sáng","Ổ cắm khách + bếp + ngủ","Nóng lạnh","Điều hoà 1 & 2","Điều hoà 3","Điều hoà phòng khách","Bếp từ"
2020-07-15 00:00:00,0,216,0,244,0,631,1
2020-07-15 00:01:00,0,210,0,286,0,631,3.50
2020-07-15 00:02:00,0,206,0,314,0,633,6
2020-07-15 00:03:00,0,206,0,254,0,632,3.50
2020-07-15 00:04:00,0,160,0,274,0,629,1
2020-07-15 00:05:00,0,115,0,342,0,628,1
2020-07-15 00:06:00,0,115,0,263,0,629,1
2020-07-15 00:07:00,0,115,0,217,0,631,4
2020-07-15 00:08:00,0,115,0,264,0,630,5
2020-07-15 00:09:00,0,114,0,265,0,628,2
2020-07-15 00:10:00,0,112,0,309,0,627,1
2020-07-15 00:11:00,0,112,0,358,0,629,1
2020-07-15 00:12:00,0,111,0,341,0,631,1
2020-07-15 00:13:00,0,109,0,329,0,632,1
2020-07-15 00:14:00,0,108,0,324,0,634,1
2020-07-15 00:15:00,5.50,108,0,371,0,632,1.50
2020-07-15 00:16:00,11,109,0,404,0,628,1.50
2020-07-15 00:17:00,5.50,108,0,391,0,628,1
2020-07-15 00:18:00,0,108,0,394,0,629,1
2020-07-15 00:19:00,0,107,0,393,0,629,1
2020-07-15 00:20:00,0,106,0,390,0,628,1
2020-07-15 00:21:00,0,107,0,388,0,628,1
2020-07-15 00:22:00,0,107,0,386,0,629,1
2020-07-15 00:23:00,0,107,0,387,0,627,1
2020-07-15 00:24:00,0,107,0,390,0,629,2
2020-07-15 00:25:00,0,106,0,394,0,627,2.50
2020-07-15 00:26:00,0,106,0,392,0,629,2
2020-07-15 00:27:00,0,105,0,388,0,633,1.50
2020-07-15 00:28:00,0,126,0,384,0,632,1
2020-07-15 00:29:00,0,140,0,377,0,630,9.50
2020-07-15 00:30:00,0,132,0,382,0,631,18
2020-07-15 00:31:00,0,130,0,374,0,633,9.50
2020-07-15 00:32:00,0,126,0,339,0,634,1
2020-07-15 00:33:00,0,128,0,319,0,633,1
2020-07-15 00:34:00,0,186,0,315,0,630,1.50
2020-07-15 00:35:00,0,240,0,259,0,629,1.50
2020-07-15 00:36:00,0,235,0,269,0,629,1
2020-07-15 00:37:00,0,228,0,308,0,628,1
2020-07-15 00:38:00,0,227,0,281,0,626,1
2020-07-15 00:39:00,0,230,0,292,0,628,1
2020-07-15 00:40:00,0,231,0,295,0,629,1.50
2020-07-15 00:41:00,0,227,0,286,0,628,3
2020-07-15 00:42:00,0,223,0,275,0,628,3
2020-07-15 00:43:00,0,226,0,223,0,627,2.50
2020-07-15 00:44:00,0,229,0,186,0,626,3.50
2020-07-15 00:45:00,0,224,0,169,0,627,23.5
2020-07-15 00:46:00,0,221,0,187,0,626,22
2020-07-15 00:47:00,0,222,0,188,0,625,1
2020-07-15 00:48:00,0,223,0,171,0,625,1
2020-07-15 00:49:00,0,222,0,233,0,627,1
2020-07-15 00:50:00,0,221,0,245,0,626,1
2020-07-15 00:51:00,0,223,0,199,0,625,1
2020-07-15 00:52:00,0,222,0,197,0,624,2
2020-07-15 00:53:00,0,224,0,217,0,624,3
2020-07-15 00:54:00,0,223,0,205,0,624,2
2020-07-15 00:55:00,0,219,0,196,0,627,1.50
2020-07-15 00:56:00,0,212,0,271,0,628,1.50
2020-07-15 00:57:00,0,203,0,317,0,625,1
2020-07-15 00:58:00,0,205,0,315,0,624,1
2020-07-15 00:59:00,0,206,0,310,0,626,1
2020-07-15 01:00:00,0,203,0,252,0,627,2
2020-07-15 01:01:00,0,204,0,190,0,627,2
2020-07-15 01:02:00,0,207,0,211,0,626,1.50
2020-07-15 01:03:00,0,206,0,238,0,625,2
2020-07-15 01:04:00,0,206,0,219,0,624,5.50
2020-07-15 01:05:00,0,205,0,238,0,625,8
2020-07-15 01:06:00,0,201,0,253,0,626,5
2020-07-15 01:07:00,0,201,0,243,0,626,2
2020-07-15 01:08:00,0,201,0,252,0,626,1
2020-07-15 01:09:00,0,201,0,280,0,625,2
2020-07-15 01:10:00,0,205,0,301,0,625,2
2020-07-15 01:11:00,0,204,0,246,0,625,1
2020-07-15 01:12:00,0,198,0,202,0,624,1
2020-07-15 01:13:00,0,195,0,247,0,625,1
2020-07-15 01:14:00,0,191,0,228,0,626,15
2020-07-15 01:15:00,0,190,0,208,0,627,29
2020-07-15 01:16:00,0,147,0,280,0,628,16
2020-07-15 01:17:00,0,101,0,249,0,627,3
2020-07-15 01:18:00,0,101,0,186,0,627,3
2020-07-15 01:19:00,0,102,0,251,0,628,3
2020-07-15 01:20:00,0,101,0,247,0,629,3
2020-07-15 01:21:00,0,101,0,178,0,630,3.50
2020-07-15 01:22:00,0,102,0,180,0,628,2.50
2020-07-15 01:23:00,0,101,0,248,0,627,1
2020-07-15 01:24:00,0,101,0,330,0,626,1
2020-07-15 01:25:00,0,101,0,325,0,627,1
2020-07-15 01:26:00,0,101,0,275,0,628,1
2020-07-15 01:27:00,0,102,0,316,0,625,1
2020-07-15 01:28:00,0,102,0,443,0,626,1
2020-07-15 01:29:00,0,103,0,500,0,627,4.50
2020-07-15 01:30:00,0,102,0,478,0,628,4.50
2020-07-15 01:31:00,0,102,0,505,0,629,1.50
2020-07-15 01:32:00,0,102,0,540,0,628,1.50
2020-07-15 01:33:00,0,102,0,547,0,628,1
2020-07-15 01:34:00,0,103,0,562,0,626,2.50
2020-07-15 01:35:00,0,103,0,584,0,627,4
2020-07-15 01:36:00,0,103,0,602,0,629,10
2020-07-15 01:37:00,0,103,0,614,0,627,8.50
2020-07-15 01:38:00,0,103,0,612,0,628,1
2020-07-15 01:39:00,0,104,0,613,0,631,1.50
2020-07-15 01:40:00,0,104,0,615,0,630,1.50
2020-07-15 01:41:00,0,104,0,619,0,628,3
2020-07-15 01:42:00,0,102,0,606,0,629,4
2020-07-15 01:43:00,0,103,0,588,0,628,3
2020-07-15 01:44:00,0,104,0,566,0,625,2
2020-07-15 01:45:00,0,167,0,553,0,624,6.50
2020-07-15 01:46:00,0,218,0,530,0,626,6.50
2020-07-15 01:47:00,0,206,0,501,0,628,1.50
2020-07-15 01:48:00,0,207,0,500,0,630,2
2020-07-15 01:49:00,0,208,0,470,0,631,2
2020-07-15 01:50:00,0,210,0,410,0,631,2
2020-07-15 01:51:00,0,212,0,378,0,630,15
2020-07-15 01:52:00,0,213,0,400,0,628,24.5
2020-07-15 01:53:00,0,207,0,423,0,628,11.5
2020-07-15 01:54:00,0,207,0,371,0,627,4
2020-07-15 01:55:00,0,212,0,316,0,627,3.50
2020-07-15 01:56:00,0,212,0,282,0,626,1
2020-07-15 01:57:00,0,213,0,268,0,625,2.50
2020-07-15 01:58:00,0,211,0,266,0,625,4
2020-07-15 01:59:00,0,203,0,311,0,627,2.50
2020-07-15 02:00:00,0,204,0,304,0,630,1
2020-07-15 02:01:00,0,205,0,232,0,629,1.50
2020-07-15 02:02:00,0,202,0,257,0,628,2
2020-07-15 02:03:00,0,201,0,298,0,626,3
2020-07-15 02:04:00,0,203,0,264,0,627,3
2020-07-15 02:05:00,0,206,0,253,0,626,1.50
2020-07-15 02:06:00,0,202,0,300,0,625,1
2020-07-15 02:07:00,0,202,0,334,0,626,1
2020-07-15 02:08:00,0,203,0,360,0,626,4.50
2020-07-15 02:09:00,0,207,0,361,0,624,4.50
2020-07-15 02:10:00,0,206,0,404,0,624,1
2020-07-15 02:11:00,0,202,0,438,0,625,7.50
2020-07-15 02:12:00,0,203,0,427,0,627,7.50
2020-07-15 02:13:00,0,207,0,428,0,625,3.50
2020-07-15 02:14:00,0,206,0,431,0,624,6
2020-07-15 02:15:00,0,201,0,431,0,624,4
2020-07-15 02:16:00,0,201,0,435,0,623,1.50
2020-07-15 02:17:00,0,202,0,437,0,621,1
2020-07-15 02:18:00,0,202,0,435,0,623,1
2020-07-15 02:19:00,0,202,0,434,0,625,1.50
2020-07-15 02:20:00,0,198,0,434,0,625,1.50
2020-07-15 02:21:00,0,196,0,431,0,624,1
2020-07-15 02:22:00,0,194,0,432,0,622,1
2020-07-15 02:23:00,0,190,0,434,0,623,1
2020-07-15 02:24:00,0,147,0,432,0,625,1
2020-07-15 02:25:00,0,103,0,429,0,625,1.50
2020-07-15 02:26:00,0,103,0,429,0,626,1.50
2020-07-15 02:27:00,0,103,0,429,0,626,1
2020-07-15 02:28:00,0,102,0,413,0,624,1
2020-07-15 02:29:00,0,101,0,378,0,625,1
2020-07-15 02:30:00,0,102,0,348,0,626,4.50
2020-07-15 02:31:00,0,103,0,341,0,627,4.50
2020-07-15 02:32:00,0,102,0,317,0,627,1
2020-07-15 02:33:00,0,102,0,307,0,624,1
2020-07-15 02:34:00,0,103,0,306,0,623,1
2020-07-15 02:35:00,0,104,0,290,0,625,1
2020-07-15 02:36:00,0,103,0,241,0,626,1
2020-07-15 02:37:00,0,100,0,233,0,627,1
2020-07-15 02:38:00,0,99,0,269,0,624,3.50
2020-07-15 02:39:00,0,100,0,311,0,622,4
2020-07-15 02:40:00,0,101,0,342,0,624,1.50
2020-07-15 02:41:00,0,102,0,317,0,627,3
2020-07-15 02:42:00,0,103,0,257,0,629,3.50
2020-07-15 02:43:00,0,103,0,211,0,628,2
2020-07-15 02:44:00,0,102,0,204,0,626,3.50
2020-07-15 02:45:00,0,101,0,244,0,629,3.50
2020-07-15 02:46:00,0,102,0,291,0,632,2
2020-07-15 02:47:00,0,102,0,285,0,631,1.50
2020-07-15 02:48:00,0,103,0,309,0,628,1
2020-07-15 02:49:00,0,103,0,289,0,626,1
2020-07-15 02:50:00,0,103,0,228,0,626,1.50
2020-07-15 02:51:00,0,103,0,274,0,623,1.50
2020-07-15 02:52:00,0,103,0,305,0,624,1
2020-07-15 02:53:00,0,163,0,275,0,626,1
2020-07-15 02:54:00,0,217,0,233,0,627,1
2020-07-15 02:55:00,0,207,0,189,0,627,4.50
2020-07-15 02:56:00,0,211,0,224,0,626,5
